fans	verifyName	actorId	preferredName	actorDesc
4	金亚中	3112197022	金亚中AJoongkim	韩国女演员，曾演《丑女大翻身》《SIGN》《我的P.S搭档》等, 
4	洪晨颖	1788083283	洪晨颖	主持人、演员（偶像剧《痞子英雄》中饰演警察小绿）, 
4	孙璐	1279565784	Luciana-孙璐	演员，网剧喜剧《疯狂女舍》饰演欧阳灵萱, 
4	卢伟	1985461775	卢伟DreamChaser	电视剧《爸爸快长大》摄制组 签约演员, 
4	霍露	1901453304	Holu霍露	河南天音文化艺术有限公司 签约艺人, 
4	傅剑虹	1817665341	傅剑虹	TVB演员，主持人, 
4	陈于婕	1906179223	陈于婕	台湾女演员，作品：电影《台北晚九朝五》、电视《无敌三宝妹》等, 
4	吴静娴	3164084703	吴静娴的星星知我心	台湾资深艺人，《星星知我心》主演, 
4	周上允	2011245520	周上允	陕西野鸽音乐文化发行有限公司签约女艺人、职业歌手, 
4	筱牧	1762650441	筱筱牧牧	演员 参演《龙凤呈祥》 《中国商人》《心路》, 
4	郭蔼明	2635779777	郭蔼明	香港演员 郭蔼明, 
4	崔景天	1595375213	崔景天_Hank	索卡尼娱乐国际（香港）有限公司 签约合作艺人, 
4	闻雯	2239692372	演员闻雯	北京新秀瞬间文化传媒有限公司 演员, 
4	曹志颖	1586505725	周总理特型演员曹志颖	周总理特型演员, 
4	曾馨乐	2248203065	曾馨乐Cindy-yoga	悠季瑜伽导师、铁路文工团演员, 
4	杨燕宇	2091051505	rose杨燕宇	北京海蝶音乐有限公司签约艺人 歌手  , 
4	林姝敏	2166984470	林姝敏	演员，2008奥运火炬手，游戏《征服》形象代言人。, 
4	谭筠怡	1882135105	GwennieTam谭筠怡	香港艺人、珠宝设计师谭筠怡, 
4	昊明	1752988902	昊明-	演员、主持人。主要作品：《一路领先》、《山村T型台》等, 
4	汪芫	2186887617	汪芫	演员,代表作《满汉全席》《重庆谍战》《敌特在行动》等., 
4	张莹静	2148653794	张莹静michelle	歌手、演员, 
